init_tom,resp_tom,init_lr,resp_lr,init_canLie,resp_canLie,init_initPoints,resp_initPoints,init_finalPoints,resp_finalPoints,init_gain,resp_gain,nr_offers,outcome_is_PE,is_best_sw_outcome,negotiation_success,passed_time
0,2,0.5,0.5,false,false,850,300,848,298,-2,-2,2,true,true,true,-1.0
0,2,0.5,0.5,false,false,250,300,246,296,-4,-4,4,false,false,false,-1.0
0,2,0.5,0.5,false,false,200,300,799,349,599,49,1,true,true,true,-1.0
0,2,0.5,0.5,false,false,850,300,898,798,48,498,2,true,true,true,-1.0
0,2,0.5,0.5,false,false,250,200,246,196,-4,-4,4,true,true,true,-1.0
0,2,0.5,0.5,false,false,200,300,248,898,48,598,2,true,true,true,-1.0
0,2,0.5,0.5,false,false,250,250,298,798,48,548,2,true,true,true,-1.0
1,0,0.5,0.5,false,false,200,850,247,897,47,47,3,true,true,true,0.303
1,0,0.5,0.5,false,false,200,300,898,798,698,498,2,true,true,true,-1.0
1,0,0.5,0.5,false,false,300,300,300,300,0,0,0,false,false,false,-1.0
1,0,0.5,0.5,false,false,850,850,847,847,-3,-3,3,true,true,true,-1.0
1,0,0.5,0.5,false,false,850,200,898,798,48,598,2,true,true,true,-1.0
1,0,0.5,0.5,false,false,300,200,797,247,497,47,3,true,true,true,-1.0
1,0,0.5,0.5,false,false,250,300,247,297,-3,-3,3,true,true,true,-1.0
1,0,0.5,0.5,false,false,250,350,799,949,549,599,1,true,true,true,-1.0
1,0,0.5,0.5,false,false,200,200,197,197,-3,-3,3,true,true,true,-1.0
1,0,0.5,0.5,false,false,250,850,247,847,-3,-3,3,true,true,true,-1.0
1,0,0.5,0.5,false,false,850,850,847,847,-3,-3,3,true,true,true,-1.0
1,0,0.5,0.5,false,false,300,300,297,297,-3,-3,3,true,true,true,-1.0
1,0,0.5,0.5,false,false,300,200,347,247,47,47,3,true,true,true,-1.0
1,0,0.5,0.5,false,false,250,250,250,250,0,0,0,true,true,true,-1.0
1,0,0.5,0.5,false,false,850,250,850,250,0,0,0,true,true,true,-1.0
1,0,0.5,0.5,false,false,200,250,798,298,598,48,2,true,true,true,-1.0
1,0,0.5,0.5,false,false,250,200,848,898,598,698,2,true,true,true,-1.0
1,0,0.5,0.5,false,false,850,300,845,295,-5,-5,5,true,true,true,-1.0
1,0,0.5,0.5,false,false,250,300,250,300,0,0,0,true,true,true,-1.0
1,0,0.5,0.5,false,false,350,850,347,847,-3,-3,3,true,true,true,-1.0
1,1,0.5,0.5,false,false,250,350,200,300,-50,-50,50,true,true,true,1.241
1,1,0.5,0.5,false,false,850,350,800,300,-50,-50,50,true,true,true,-1.0
1,1,0.5,0.5,false,false,250,350,247,347,-3,-3,3,true,true,true,-1.0
1,1,0.5,0.5,false,false,300,250,797,397,497,147,3,true,true,true,-1.0
1,1,0.5,0.5,false,false,850,850,800,800,-50,-50,50,true,true,true,-1.0
1,1,0.5,0.5,false,false,300,250,796,796,496,546,4,true,true,true,-1.0
1,1,0.5,0.5,false,false,850,300,800,250,-50,-50,50,true,true,true,-1.0
1,1,0.5,0.5,false,false,250,250,797,397,547,147,3,true,true,true,-1.0
1,1,0.5,0.5,false,false,350,250,350,250,0,0,0,true,true,true,-1.0
1,1,0.5,0.5,false,false,300,250,250,200,-50,-50,50,true,true,true,-1.0
1,1,0.5,0.5,false,false,850,850,800,800,-50,-50,50,true,true,true,-1.0
1,1,0.5,0.5,false,false,300,200,250,150,-50,-50,50,true,true,true,-1.0
1,1,0.5,0.5,false,false,250,250,247,247,-3,-3,3,true,true,true,-1.0
1,1,0.5,0.5,false,false,300,350,250,300,-50,-50,50,true,true,true,-1.0
1,1,0.5,0.5,false,false,300,200,250,150,-50,-50,50,true,true,true,-1.0
1,1,0.5,0.5,false,false,850,250,899,799,49,549,1,true,true,true,-1.0
1,1,0.5,0.5,false,false,850,850,800,800,-50,-50,50,true,true,true,-1.0
1,1,0.5,0.5,false,false,850,300,848,298,-2,-2,2,true,true,true,-1.0
1,1,0.5,0.5,false,false,300,350,250,300,-50,-50,50,true,true,true,-1.0
1,1,0.5,0.5,false,false,250,200,799,299,549,99,1,true,true,true,-1.0
1,2,0.5,0.5,false,true,250,300,250,300,0,0,0,true,true,true,737.873
1,2,0.5,0.5,false,true,850,250,844,244,-6,-6,6,true,true,true,-1.0
1,2,0.5,0.5,false,true,250,250,246,246,-4,-4,4,true,true,true,-1.0
1,2,0.5,0.5,false,true,250,200,348,848,98,648,2,true,true,true,-1.0
1,2,0.5,0.5,false,true,250,300,298,898,48,598,2,true,true,true,-1.0
1,2,0.5,0.5,false,true,300,300,785,335,485,35,15,true,true,true,-1.0
1,2,0.5,0.5,false,true,300,300,294,294,-6,-6,6,true,true,true,-1.0
1,2,0.5,0.5,false,true,200,250,198,248,-2,-2,2,true,true,true,-1.0
1,2,0.5,0.5,false,true,300,250,250,200,-50,-50,50,false,false,false,-1.0
1,2,0.5,0.5,false,true,250,250,248,248,-2,-2,2,true,true,true,-1.0
1,2,0.5,0.5,false,true,850,200,899,299,49,99,1,true,true,true,-1.0
1,2,0.5,0.5,false,true,300,900,797,947,497,47,3,true,true,true,-1.0
1,2,0.5,0.5,false,true,300,200,298,198,-2,-2,2,true,true,true,-1.0
1,2,0.5,0.5,false,true,850,350,848,348,-2,-2,2,true,true,true,-1.0
1,2,0.5,0.5,false,true,300,250,298,248,-2,-2,2,true,true,true,-1.0
1,2,0.5,0.5,false,true,250,850,298,898,48,48,2,true,true,true,-1.0
1,2,0.5,0.5,false,true,250,300,250,300,0,0,0,true,true,true,-1.0
1,2,0.5,0.5,false,true,250,250,797,347,547,97,3,true,true,true,-1.0
1,2,0.5,0.5,false,true,300,850,797,897,497,47,3,true,true,true,-1.0
1,2,0.5,0.5,false,true,300,300,298,298,-2,-2,2,true,true,true,-1.0
1,2,0.5,0.5,false,false,250,850,248,848,-2,-2,2,true,true,true,178.655
1,2,0.5,0.5,false,false,850,300,897,797,47,497,3,true,true,true,-1.0
1,2,0.5,0.5,false,false,250,300,250,300,0,0,0,true,true,true,-1.0
1,2,0.5,0.5,false,false,200,300,197,297,-3,-3,3,true,true,true,-1.0
1,2,0.5,0.5,false,false,250,300,250,300,0,0,0,true,true,true,-1.0
1,2,0.5,0.5,false,false,250,300,298,348,48,48,2,true,true,true,-1.0
1,2,0.5,0.5,false,false,850,200,850,200,0,0,0,true,true,true,-1.0
1,2,0.5,0.5,false,false,350,300,346,296,-4,-4,4,true,true,true,-1.0
1,2,0.5,0.5,false,false,850,250,850,250,0,0,0,true,true,true,-1.0
1,2,0.5,0.5,false,false,200,250,249,399,49,149,1,true,true,true,-1.0
1,2,0.5,0.5,false,false,250,350,298,898,48,548,2,true,true,true,-1.0
1,2,0.5,0.5,false,false,200,300,248,348,48,48,2,true,true,true,-1.0
1,2,0.5,0.5,false,false,350,250,348,248,-2,-2,2,true,true,true,-1.0
1,2,0.5,0.5,false,false,300,200,300,200,0,0,0,false,false,false,-1.0
1,2,0.5,0.5,false,false,200,900,298,948,98,48,2,true,true,true,-1.0
1,2,0.5,0.5,false,false,250,250,298,298,48,48,2,true,true,true,-1.0
1,2,0.5,0.5,false,false,300,200,300,200,0,0,0,true,true,true,-1.0
1,2,0.5,0.5,false,false,850,900,849,899,-1,-1,1,true,true,true,-1.0
1,2,0.5,0.5,false,false,200,250,198,248,-2,-2,2,true,true,true,-1.0
1,2,0.5,0.5,false,false,300,300,298,298,-2,-2,2,true,true,true,-1.0
2,0,0.5,0.5,true,false,850,900,850,900,0,0,0,true,true,true,594.204
2,0,0.5,0.5,true,false,350,300,399,799,49,499,1,true,true,true,-1.0
2,0,0.5,0.5,true,false,300,300,297,297,-3,-3,3,false,false,false,-1.0
2,0,0.5,0.5,true,false,350,250,949,799,599,549,1,true,true,true,-1.0
2,0,0.5,0.5,true,false,250,250,298,798,48,548,2,true,true,true,-1.0
2,0,0.5,0.5,true,false,250,250,348,798,98,548,2,true,true,true,-1.0
2,0,0.5,0.5,true,false,350,350,350,350,0,0,0,true,true,true,-1.0
2,0,0.5,0.5,true,false,300,250,298,248,-2,-2,2,true,true,true,-1.0
2,0,0.5,0.5,true,false,300,250,300,250,0,0,0,true,true,true,-1.0
2,0,0.5,0.5,true,false,300,300,298,298,-2,-2,2,true,true,true,-1.0
2,0,0.5,0.5,true,false,250,250,347,297,97,47,3,true,false,true,-1.0
2,0,0.5,0.5,true,false,200,250,348,798,148,548,2,true,true,true,-1.0
2,0,0.5,0.5,true,false,850,200,899,299,49,99,1,true,true,true,-1.0
2,0,0.5,0.5,true,false,300,250,295,245,-5,-5,5,true,true,true,-1.0
2,0,0.5,0.5,true,false,300,300,296,296,-4,-4,4,true,true,true,-1.0
2,0,0.5,0.5,true,false,200,900,197,897,-3,-3,3,true,true,true,-1.0
2,0,0.5,0.5,true,false,250,300,247,297,-3,-3,3,false,false,false,-1.0
2,0,0.5,0.5,true,false,850,250,847,247,-3,-3,3,true,true,true,-1.0
2,0,0.5,0.5,true,false,250,250,799,899,549,649,1,true,true,true,-1.0
2,0,0.5,0.5,true,false,250,250,250,250,0,0,0,true,true,true,-1.0
2,0,0.5,0.5,false,false,850,200,845,195,-5,-5,5,true,true,true,113.37
2,0,0.5,0.5,false,false,900,350,895,345,-5,-5,5,true,true,true,-1.0
2,0,0.5,0.5,false,false,250,250,898,798,648,548,2,true,true,true,-1.0
2,0,0.5,0.5,false,false,250,200,797,297,547,97,3,true,true,true,-1.0
2,0,0.5,0.5,false,false,200,300,195,295,-5,-5,5,false,false,false,-1.0
2,0,0.5,0.5,false,false,850,300,899,799,49,499,1,true,true,true,-1.0
2,0,0.5,0.5,false,false,850,200,847,197,-3,-3,3,true,true,true,-1.0
2,0,0.5,0.5,false,false,300,250,898,798,598,548,2,true,true,true,-1.0
2,0,0.5,0.5,false,false,250,850,247,847,-3,-3,3,true,true,true,-1.0
2,0,0.5,0.5,false,false,850,250,845,245,-5,-5,5,true,true,true,-1.0
2,0,0.5,0.5,false,false,200,300,200,300,0,0,0,true,true,true,-1.0
2,0,0.5,0.5,false,false,300,350,297,347,-3,-3,3,true,true,true,-1.0
2,0,0.5,0.5,false,false,300,300,849,899,549,599,1,true,true,true,-1.0
2,0,0.5,0.5,false,false,250,300,247,297,-3,-3,3,true,true,true,-1.0
2,0,0.5,0.5,false,false,900,200,947,247,47,47,3,true,true,true,-1.0
2,0,0.5,0.5,false,false,300,300,348,798,48,498,2,true,true,true,-1.0
2,0,0.5,0.5,false,false,250,200,247,197,-3,-3,3,false,false,false,-1.0
2,0,0.5,0.5,false,false,200,850,195,845,-5,-5,5,true,true,true,-1.0
2,0,0.5,0.5,false,false,300,250,295,245,-5,-5,5,true,true,true,-1.0
2,0,0.5,0.5,false,false,250,200,797,247,547,47,3,true,false,true,-1.0
2,1,0.5,0.5,true,false,300,900,297,897,-3,-3,3,true,true,true,794.329
2,1,0.5,0.5,true,false,200,300,177,277,-23,-23,23,true,true,true,-1.0
2,1,0.5,0.5,true,false,250,300,250,300,0,0,0,true,true,true,-1.0
2,1,0.5,0.5,true,false,250,350,247,347,-3,-3,3,true,true,true,-1.0
2,1,0.5,0.5,true,false,300,200,347,247,47,47,3,true,true,true,-1.0
2,1,0.5,0.5,true,false,350,200,350,200,0,0,0,true,true,true,-1.0
2,1,0.5,0.5,true,false,350,300,899,349,549,49,1,true,true,true,-1.0
2,1,0.5,0.5,true,false,300,250,798,298,498,48,2,true,true,true,-1.0
2,1,0.5,0.5,true,false,350,350,347,347,-3,-3,3,true,true,true,-1.0
2,1,0.5,0.5,true,false,300,300,295,295,-5,-5,5,false,false,false,-1.0
2,1,0.5,0.5,true,false,250,350,247,347,-3,-3,3,true,true,true,-1.0
2,1,0.5,0.5,true,false,300,300,295,295,-5,-5,5,true,true,true,-1.0
2,1,0.5,0.5,true,false,850,250,850,250,0,0,0,true,true,true,-1.0
2,1,0.5,0.5,true,false,300,200,300,200,0,0,0,true,true,true,-1.0
2,1,0.5,0.5,true,false,300,200,797,247,497,47,3,true,true,true,-1.0
2,1,0.5,0.5,true,false,300,300,250,250,-50,-50,50,false,false,false,-1.0
2,1,0.5,0.5,true,false,200,300,798,898,598,598,2,true,true,true,-1.0
2,1,0.5,0.5,true,false,250,250,247,247,-3,-3,3,false,false,false,-1.0
2,1,0.5,0.5,true,false,350,300,347,297,-3,-3,3,true,true,true,-1.0
2,1,0.5,0.5,true,false,850,300,847,297,-3,-3,3,true,true,true,-1.0
2,1,0.5,0.5,false,false,200,300,248,798,48,498,2,true,true,true,133.985
2,1,0.5,0.5,false,false,850,850,850,850,0,0,0,true,true,true,-1.0
2,1,0.5,0.5,false,false,250,300,798,348,548,48,2,true,true,true,-1.0
2,1,0.5,0.5,false,false,350,200,398,298,48,98,2,true,true,true,-1.0
2,1,0.5,0.5,false,false,350,300,347,297,-3,-3,3,true,true,true,-1.0
2,1,0.5,0.5,false,false,300,850,297,847,-3,-3,3,true,true,true,-1.0
2,1,0.5,0.5,false,false,350,850,350,850,0,0,0,true,true,true,-1.0
2,1,0.5,0.5,false,false,250,850,247,847,-3,-3,3,true,true,true,-1.0
2,1,0.5,0.5,false,false,850,250,850,250,0,0,0,true,true,true,-1.0
2,1,0.5,0.5,false,false,850,300,847,297,-3,-3,3,true,true,true,-1.0
2,1,0.5,0.5,false,false,200,300,187,287,-13,-13,13,true,true,true,-1.0
2,1,0.5,0.5,false,false,300,300,297,297,-3,-3,3,true,true,true,-1.0
2,1,0.5,0.5,false,false,250,250,299,799,49,549,1,true,true,true,-1.0
2,1,0.5,0.5,false,false,300,850,297,847,-3,-3,3,true,true,true,-1.0
2,1,0.5,0.5,false,false,350,300,343,293,-7,-7,7,true,true,true,-1.0
2,1,0.5,0.5,false,false,300,300,250,250,-50,-50,50,false,false,false,-1.0
2,1,0.5,0.5,false,false,850,350,849,349,-1,-1,1,true,true,true,-1.0
2,1,0.5,0.5,false,false,250,350,348,898,98,548,2,true,true,true,-1.0
2,1,0.5,0.5,false,false,300,300,798,348,498,48,2,true,true,true,-1.0
2,1,0.5,0.5,false,false,850,300,899,799,49,499,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,250,300,248,298,-2,-2,2,true,true,true,535.56
2,2,0.5,0.5,true,true,250,900,249,899,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,250,200,248,198,-2,-2,2,false,false,false,-1.0
2,2,0.5,0.5,true,true,200,300,199,299,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,300,350,298,348,-2,-2,2,true,true,true,-1.0
2,2,0.5,0.5,true,true,900,250,899,249,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,250,300,798,348,548,48,2,true,true,true,-1.0
2,2,0.5,0.5,true,true,850,850,849,849,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,350,900,349,899,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,300,300,299,299,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,300,250,896,796,596,546,4,true,true,true,-1.0
2,2,0.5,0.5,true,true,300,250,349,299,49,49,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,250,250,798,898,548,648,2,true,true,true,-1.0
2,2,0.5,0.5,true,true,850,200,899,249,49,49,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,300,250,299,249,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,200,300,198,298,-2,-2,2,true,true,true,-1.0
2,2,0.5,0.5,true,true,300,300,299,299,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,350,850,349,849,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,250,300,249,299,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,true,200,350,198,348,-2,-2,2,true,true,true,-1.0
2,2,0.5,0.5,true,false,250,300,248,298,-2,-2,2,true,true,true,384.967
2,2,0.5,0.5,true,false,300,200,300,200,0,0,0,true,true,true,-1.0
2,2,0.5,0.5,true,false,250,850,799,899,549,49,1,true,true,true,-1.0
2,2,0.5,0.5,true,false,250,850,250,850,0,0,0,true,true,true,-1.0
2,2,0.5,0.5,true,false,900,300,899,299,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,false,200,200,198,198,-2,-2,2,true,true,true,-1.0
2,2,0.5,0.5,true,false,200,300,198,298,-2,-2,2,true,true,true,-1.0
2,2,0.5,0.5,true,false,200,300,198,298,-2,-2,2,true,true,true,-1.0
2,2,0.5,0.5,true,false,300,300,298,298,-2,-2,2,true,true,true,-1.0
2,2,0.5,0.5,true,false,850,300,847,297,-3,-3,3,true,true,true,-1.0
2,2,0.5,0.5,true,false,200,200,199,199,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,false,300,300,299,299,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,true,false,850,850,850,850,0,0,0,true,true,true,-1.0
2,2,0.5,0.5,true,false,300,250,797,297,497,47,3,true,true,true,-1.0
2,2,0.5,0.5,true,false,250,300,848,898,598,598,2,true,true,true,-1.0
2,2,0.5,0.5,true,false,250,300,299,799,49,499,1,true,true,true,-1.0
2,2,0.5,0.5,true,false,850,250,850,250,0,0,0,true,true,true,-1.0
2,2,0.5,0.5,true,false,300,200,250,150,-50,-50,50,false,false,false,-1.0
2,2,0.5,0.5,true,false,350,250,899,299,549,49,1,true,true,true,-1.0
2,2,0.5,0.5,true,false,200,250,197,247,-3,-3,3,true,true,true,-1.0
2,2,0.5,0.5,false,true,900,300,949,799,49,499,1,true,true,true,366.275
2,2,0.5,0.5,false,true,300,300,798,898,498,598,2,true,true,true,-1.0
2,2,0.5,0.5,false,true,200,200,198,198,-2,-2,2,true,true,true,-1.0
2,2,0.5,0.5,false,true,350,200,899,299,549,99,1,true,true,true,-1.0
2,2,0.5,0.5,false,true,200,200,200,200,0,0,0,true,true,true,-1.0
2,2,0.5,0.5,false,true,300,250,797,297,497,47,3,true,true,true,-1.0
2,2,0.5,0.5,false,true,250,350,798,398,548,48,2,true,true,true,-1.0
2,2,0.5,0.5,false,true,250,300,249,299,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,false,true,300,300,348,798,48,498,2,true,true,true,-1.0
2,2,0.5,0.5,false,true,300,200,798,348,498,148,2,true,true,true,-1.0
2,2,0.5,0.5,false,true,200,300,199,299,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,false,true,850,250,849,249,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,false,true,300,300,348,798,48,498,2,true,true,true,-1.0
2,2,0.5,0.5,false,true,200,350,897,897,697,547,3,true,true,true,-1.0
2,2,0.5,0.5,false,true,200,250,199,249,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,false,true,250,300,249,299,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,false,true,850,200,899,299,49,99,1,true,true,true,-1.0
2,2,0.5,0.5,false,true,850,300,849,299,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,false,true,300,850,299,849,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,false,true,850,900,849,899,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,false,false,350,300,350,300,0,0,0,true,true,true,83.083
2,2,0.5,0.5,false,false,200,900,199,899,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,false,false,300,300,297,297,-3,-3,3,true,true,true,-1.0
2,2,0.5,0.5,false,false,200,850,199,849,-1,-1,1,true,true,true,-1.0
2,2,0.5,0.5,false,false,250,350,799,949,549,599,1,true,true,true,-1.0
2,2,0.5,0.5,false,false,300,300,299,299,-1,-1,1,true,true,true,-1.0
