init_tom,resp_tom,init_lr,resp_lr,init_canLie,resp_canLie,init_initPoints,resp_respPoints,init_finalPoints,resp_finalPoints,init_gain,resp_gain,nr_offers,outcome_is_PE,passed_time
2,0,0.5,0.5,true,false,300,900,300,900,0,0,0,false,-1.0
2,0,0.5,0.5,true,false,200,200,197,197,-3,-3,3,true,-1.0
2,0,0.5,0.5,true,false,300,850,300,850,0,0,0,true,-1.0
2,0,0.5,0.5,true,false,850,900,847,897,-3,-3,3,true,-1.0
2,0,0.5,0.5,true,false,300,200,295,195,-5,-5,5,true,-1.0
2,0,0.5,0.5,true,false,300,300,297,297,-3,-3,3,true,-1.0
2,0,0.5,0.5,true,false,300,850,297,847,-3,-3,3,true,-1.0
2,0,0.5,0.5,true,false,850,200,850,200,0,0,0,true,-1.0
2,0,0.5,0.5,true,false,300,850,297,847,-3,-3,3,true,-1.0
2,0,0.5,0.5,false,false,850,300,845,295,-5,-5,5,true,79.513
2,0,0.5,0.5,false,false,250,350,245,345,-5,-5,5,false,-1.0
2,0,0.5,0.5,false,false,850,250,847,247,-3,-3,3,true,-1.0
2,0,0.5,0.5,false,false,250,350,250,350,0,0,0,true,-1.0
2,0,0.5,0.5,false,false,350,300,345,295,-5,-5,5,false,-1.0
2,0,0.5,0.5,false,false,300,250,348,798,48,548,2,true,-1.0
2,0,0.5,0.5,false,false,250,300,797,347,547,47,3,true,-1.0
2,0,0.5,0.5,false,false,300,250,797,347,497,97,3,true,-1.0
2,0,0.5,0.5,false,false,300,250,797,297,497,47,3,true,-1.0
2,0,0.5,0.5,false,false,200,850,197,847,-3,-3,3,true,-1.0
2,1,0.5,0.5,true,false,300,200,799,249,499,49,1,true,612.886
2,1,0.5,0.5,true,false,250,300,314,764,64,464,36,true,-1.0
2,1,0.5,0.5,true,false,300,850,799,899,499,49,1,true,-1.0
2,1,0.5,0.5,true,false,250,350,247,347,-3,-3,3,true,-1.0
2,1,0.5,0.5,true,false,200,250,847,297,647,47,3,true,-1.0
2,1,0.5,0.5,true,false,200,300,150,250,-50,-50,50,false,-1.0
2,1,0.5,0.5,true,false,300,850,297,847,-3,-3,3,true,-1.0
2,1,0.5,0.5,true,false,200,250,199,249,-1,-1,1,true,-1.0
2,1,0.5,0.5,true,false,850,250,847,247,-3,-3,3,true,-1.0
2,1,0.5,0.5,true,false,250,200,898,798,648,598,2,true,-1.0
2,1,0.5,0.5,false,false,850,850,850,850,0,0,0,true,175.853
2,1,0.5,0.5,false,false,200,200,848,348,648,148,2,true,-1.0
2,1,0.5,0.5,false,false,250,300,298,798,48,498,2,true,-1.0
2,1,0.5,0.5,false,false,850,850,849,849,-1,-1,1,true,-1.0
2,1,0.5,0.5,false,false,300,200,348,798,48,598,2,true,-1.0
2,1,0.5,0.5,false,false,300,850,297,847,-3,-3,3,true,-1.0
2,1,0.5,0.5,false,false,300,900,297,897,-3,-3,3,true,-1.0
2,1,0.5,0.5,false,false,300,250,297,247,-3,-3,3,true,-1.0
2,1,0.5,0.5,false,false,300,250,296,246,-4,-4,4,true,-1.0
2,1,0.5,0.5,false,false,250,200,250,200,0,0,0,true,-1.0
2,2,0.5,0.5,true,true,350,300,348,298,-2,-2,2,true,465.794
2,2,0.5,0.5,true,true,300,250,899,799,599,549,1,true,-1.0
2,2,0.5,0.5,true,true,250,900,250,900,0,0,0,true,-1.0
2,2,0.5,0.5,true,true,250,300,799,349,549,49,1,true,-1.0
2,2,0.5,0.5,true,true,850,850,849,849,-1,-1,1,true,-1.0
2,2,0.5,0.5,true,true,850,300,850,300,0,0,0,true,-1.0
2,2,0.5,0.5,true,true,250,250,249,249,-1,-1,1,false,-1.0
2,2,0.5,0.5,true,true,250,250,849,299,599,49,1,true,-1.0
2,2,0.5,0.5,true,true,250,300,200,250,-50,-50,50,true,-1.0
2,2,0.5,0.5,true,true,250,350,847,897,597,547,3,true,-1.0
